;kode_sarana;jenis_sarana;nama_pemilik;nama_daop;lokasi;tahun_pembuatan;umur;range_usia;asal_pabrikan
7;K109512;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K109513;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K109518;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K109521;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K109523;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K109525;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;P06409;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1964;57;>30 th;LN
7;P09501;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1995;26;21-30 th;ID
7;K306562;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1965;56;>30 th;LN
7;K306571;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1965;56;>30 th;LN
7;KP306507;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1965;56;>30 th;LN
7;B00812;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00813;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00814;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;B00815;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
