,id,kode_sarana,kode_sarana_lama,id_kartu,jenis_sarana,id_sub_jenis,seri,tahun_dinas,id_depo,status,negara_asal,tgl_uji_pertama,tgl_masa_uji,tgl_masa_perawatan,pabrikan,created_at,last_update,nama_pemilik,nama_daop
7,2925,GD308503,PPCW 98,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2927,GD308505,PPCW 386,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2928,GD308506,PPCW 8530001,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2933,GD308511,PPCW 8530018,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2935,GD308513,PPCW 8530022,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2936,GD308514,PPCW 8530023,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2938,GD308516,PPCW 8530031,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2939,GD308517,PPCW 8530032,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2941,GD308519,PPCW 8530099,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2943,GD308521,PPCW 8530102,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2949,GD308527,PPCW 8530002,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2950,GD308528,PPCW 8530004,0,Gerbong,7,54,1985,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
