,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
209,GD421123,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
210,GD4211230,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
211,GD4211231,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
212,GD4211232,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
213,GD4211233,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
214,GD4211234,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
215,GD4211235,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
216,GD4211236,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
217,GD4211237,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
218,GD4211238,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
219,GD4211239,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
220,GD421124,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
221,GD4211240,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
222,GD4211241,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
223,GD4211242,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
224,GD4211243,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
225,GD4211244,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
226,GD4211245,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
227,GD4211246,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
228,GD421126,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
229,GD4211267,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
230,GD4211268,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
231,GD421127,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
