;NOMOR_IDENTITAS;DAOP;DEPO;JENIS
393;GD4212334;DAOP 1;JAKG;GERBONG
394;GD4212335;DAOP 1;RK;GERBONG
395;GD4212336;DAOP 1;JAKG;GERBONG
396;GD4212337;DAOP 1;JAKG;GERBONG
397;GD4212338;DAOP 1;JAKG;GERBONG
398;GD4212339;DAOP 1;JAKG;GERBONG
399;GD4212340;DAOP 1;RK;GERBONG
400;GD4212368;DAOP 1;RK;GERBONG
401;GD4212384;DAOP 1;JAKG;GERBONG
402;GD4212421;DAOP 1;JAKG;GERBONG
403;GD4212422;DAOP 1;JAKG;GERBONG
404;GD4212423;DAOP 1;JAKG;GERBONG
405;GD4212424;DAOP 1;JAKG;GERBONG
406;GD4212425;DAOP 1;JAKG;GERBONG
407;GD4212426;DAOP 1;JAKG;GERBONG
408;GD4212427;DAOP 1;JAKG;GERBONG
409;GD4212428;DAOP 1;JAKG;GERBONG
410;GD4212429;DAOP 8;SDT;GERBONG
411;GD4212430;DAOP 1;JAKG;GERBONG
412;GD4212431;DAOP 1;JAKG;GERBONG
413;GD4212432;DAOP 8;SDT;GERBONG
414;GD4212433;DAOP 1;JAKG;GERBONG
415;GD4212434;DAOP 1;JAKG;GERBONG
416;GD4212435;DAOP 8;SDT;GERBONG
417;GD4212436;DAOP 1;JAKG;GERBONG
418;GD4212437;DAOP 8;SDT;GERBONG
419;GD4212438;DAOP 1;JAKG;GERBONG
420;GD4212439;DAOP 1;JAKG;GERBONG
421;GD4212440;DAOP 1;JAKG;GERBONG
422;GD4212441;DAOP 1;JAKG;GERBONG
423;GD4212442;DAOP 1;JAKG;GERBONG
424;GD4212443;DAOP 1;JAKG;GERBONG
425;GD4212444;DAOP 8;SDT;GERBONG
426;GD4212445;DAOP 1;JAKG;GERBONG
427;GD4212446;DAOP 1;JAKG;GERBONG
428;GD4212447;DAOP 8;SDT;GERBONG
429;GD4212448;DAOP 1;JAKG;GERBONG
430;GD4212449;DAOP 8;SDT;GERBONG
431;GD4212450;DAOP 1;JAKG;GERBONG
432;GD4212451;DAOP 1;JAKG;GERBONG
433;GD4212452;DAOP 1;JAKG;GERBONG
434;GD4212453;DAOP 1;RK;GERBONG
435;GD4212454 ;DAOP 1;JAKG;GERBONG
436;GD4212455;DIVRE 3;SIG;GERBONG
437;GD4212456;DIVRE 3;SIG;GERBONG
438;GD4212457;DAOP 1;JAKG;GERBONG
439;GD4212458;DAOP 1;JAKG;GERBONG
440;GD4212459;DAOP 1;JAKG;GERBONG
441;GD4212460;DIVRE 3;SIG;GERBONG
442;GD4212461;DIVRE 3;SIG;GERBONG
443;GD4212462;DAOP 1;JAKG;GERBONG
444;GD4212463;DAOP 1;JAKG;GERBONG
445;GD4212464;DAOP 1;JAKG;GERBONG
446;GD4212465;DAOP 1;JAKG;GERBONG
447;GD4212466;DAOP 1;JAKG;GERBONG
448;GD4212467;DAOP 1;JAKG;GERBONG
449;GD4212468;DIVRE 3;SIG;GERBONG
450;GD4212469;DAOP 1;JAKG;GERBONG
451;GD4212470;DAOP 1;JAKG;GERBONG
452;GD4212471;DAOP 1;JAKG;GERBONG
453;GD4212472;DIVRE 3;SIG;GERBONG
454;GD4212473;DAOP 1;JAKG;GERBONG
455;GD4212474;DAOP 1;JAKG;GERBONG
456;GD4212475;DIVRE 3;SIG;GERBONG
457;GD4212476;DAOP 1;JAKG;GERBONG
458;GD4212477;DAOP 1;JAKG;GERBONG
459;GD4212478;DAOP 1;JAKG;GERBONG
460;GD4212479;DAOP 1;JAKG;GERBONG
461;GD4212480;DAOP 1;JAKG;GERBONG
462;GD4212484;DAOP 8;SDT;GERBONG
463;GD4212485;DAOP 1;JAKG;GERBONG
464;GD4212486;DAOP 1;JAKG;GERBONG
465;GD4212487;DAOP 1;JAKG;GERBONG
466;GD4212488;DAOP 1;JAKG;GERBONG
467;GD4212489;DAOP 1;JAKG;GERBONG
468;GD4212490;DAOP 1;JAKG;GERBONG
469;GD4212492;DAOP 1;JAKG;GERBONG
470;GD4212493;DAOP 1;JAKG;GERBONG
471;GD4212494;DAOP 1;JAKG;GERBONG
472;GD4212496;DAOP 1;JAKG;GERBONG
473;GD4212497;DAOP 8;SDT;GERBONG
474;GD4212498;DAOP 1;JAKG;GERBONG
475;GD4212499;DAOP 1;JAKG;GERBONG
476;GD4212500;DAOP 1;JAKG;GERBONG
477;GD4212501;DAOP 1;JAKG;GERBONG
478;GD4212502;DAOP 1;JAKG;GERBONG
479;GD4212503;DAOP 1;JAKG;GERBONG
480;GD4212504;DAOP 1;JAKG;GERBONG
481;GD4212505;DAOP 1;JAKG;GERBONG
482;GD4212506;DAOP 1;JAKG;GERBONG
483;GD4212507;DAOP 1;JAKG;GERBONG
484;GD4212508;DAOP 1;JAKG;GERBONG
485;GD4212509;DAOP 1;JAKG;GERBONG
486;GD4212510;DAOP 1;JAKG;GERBONG
487;GD4212516;DAOP 8;SDT;GERBONG
488;GD421301;DAOP 1;JAKG;GERBONG
489;GD421302;DAOP 1;JAKG;GERBONG
490;GD421303;DAOP 1;JAKG;GERBONG
491;GD421304;DAOP 1;JAKG;GERBONG
