,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,TAHUN_2,UMUR,RANGE_USIA
7678,K108608,DAOP 7,BL,KERETA,86,1986,35,>30 th
7679,K108610,DAOP 3,CN,KERETA,86,1986,35,>30 th
7680,K109301,DAOP 6,SLO,KERETA,93,1993,28,21-30 th
7681,K109302,DIVRE 3,KPT,KERETA,93,1993,28,21-30 th
7682,K109501,DAOP 7,BL,KERETA,95,1995,26,21-30 th
7683,K109502,DAOP 7,BL,KERETA,95,1995,26,21-30 th
7684,K109503,DAOP 4,SMC,KERETA,95,1995,26,21-30 th
7685,K109504,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7686,K109505,DAOP 7,BL,KERETA,95,1995,26,21-30 th
7687,K109506,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7688,K109507,DAOP 4,SMC,KERETA,95,1995,26,21-30 th
7689,K109509,DAOP 4,SMC,KERETA,95,1995,26,21-30 th
7690,K109510,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7691,K109511,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7692,K109512,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7693,K109513,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7694,K109514,DAOP 4,SMC,KERETA,95,1995,26,21-30 th
7695,K109515,DAOP 7,BL,KERETA,95,1995,26,21-30 th
7696,K109516,DAOP 7,BL,KERETA,95,1995,26,21-30 th
7697,K109517,DAOP 7,BL,KERETA,95,1995,26,21-30 th
7698,K109518,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7699,K109519,DAOP 7,BL,KERETA,95,1995,26,21-30 th
7700,K109520,DAOP 4,SMC,KERETA,95,1995,26,21-30 th
7701,K109521,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7702,K109522,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7703,K109524,DAOP 4,SMC,KERETA,95,1995,26,21-30 th
7704,K109525,DAOP 1,JAKK,KERETA,95,1995,26,21-30 th
7705,K109601,DAOP 7,BL,KERETA,96,1996,25,21-30 th
7706,K109602,DAOP 7,BL,KERETA,96,1996,25,21-30 th
7707,K109603,DAOP 1,JAKK,KERETA,96,1996,25,21-30 th
7708,K109604,DAOP 7,BL,KERETA,96,1996,25,21-30 th
7709,K109605,DAOP 7,BL,KERETA,96,1996,25,21-30 th
7710,K109606,DAOP 6,SLO,KERETA,96,1996,25,21-30 th
7711,K109607,DAOP 7,BL,KERETA,96,1996,25,21-30 th
7712,K109608,DAOP 1,JAKK,KERETA,96,1996,25,21-30 th
7713,K109609,DAOP 7,BL,KERETA,96,1996,25,21-30 th
7714,K109610,DAOP 7,BL,KERETA,96,1996,25,21-30 th
7715,K109801,DIVRE 1,MDN,KERETA,98,1998,23,21-30 th
7716,K109803,DIVRE 1,MDN,KERETA,98,1998,23,21-30 th
7717,K109805,DIVRE 1,MDN,KERETA,98,1998,23,21-30 th
7718,K109806,DIVRE 1,MDN,KERETA,98,1998,23,21-30 th
7719,K109807,DIVRE 1,MDN,KERETA,98,1998,23,21-30 th
7720,K109808,DIVRE 1,MDN,KERETA,98,1998,23,21-30 th
7721,K109810,DAOP 7,BL,KERETA,98,1998,23,21-30 th
7722,K109811,DAOP 1,JAKK,KERETA,98,1998,23,21-30 th
7723,K109812,DAOP 6,SLO,KERETA,98,1998,23,21-30 th
7724,K109813,DAOP 1,JAKK,KERETA,98,1998,23,21-30 th
7725,K109901,DAOP 8,ML,KERETA,99,1999,22,21-30 th
7726,K109902,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7727,K109903,DAOP 8,ML,KERETA,99,1999,22,21-30 th
7728,K109904,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
7729,K109905,DAOP 1,JAKK,KERETA,99,1999,22,21-30 th
