,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,tgl_masa_uji,STATUS_UJI
486,GD4212510,DAOP 1,JAKG,GERBONG,2020-02-23,Kadaluarsa
487,GD4212516,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
488,GD421301,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
489,GD421302,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
490,GD421303,DAOP 1,JAKG,GERBONG,2020-03-01,Kadaluarsa
491,GD421304,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
492,GD421305,DAOP 1,JAKG,GERBONG,2020-03-01,Kadaluarsa
493,GD421306,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
494,GD421308,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
495,GD421309,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
496,GD421310,DAOP 8,SDT,GERBONG,2020-03-01,Kadaluarsa
497,GD421311,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
498,GD421312,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
499,GD421313,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
500,GD421314,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
501,GD421316,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
502,GD421317,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
503,GD4213179,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
504,GD421318,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
505,GD4213181,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
506,GD4213183,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
507,GD4213186,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
508,GD421319,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
509,GD4213194,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
510,GD4213195,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
511,GD4213196,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
512,GD421320,DAOP 8,SDT,GERBONG,2020-11-28,Kadaluarsa
513,GD421321,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
514,GD4213211,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
515,GD4213213,DAOP 8,SDT,GERBONG,2022-01-29,Masih Berlaku
516,GD4213214,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
517,GD4213217,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
518,GD4213218,DAOP 1,JAKG,GERBONG,2021-08-29,Kadaluarsa
519,GD4213219,DAOP 8,SDT,GERBONG,2020-03-01,Kadaluarsa
520,GD421322,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
521,GD4213221,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
522,GD4213222,DAOP 1,JAKG,GERBONG,2013-07-31,Kadaluarsa
523,GD4213223,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
524,GD4213224,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
525,GD4213225,DAOP 8,SDT,GERBONG,2020-10-26,Kadaluarsa
526,GD421323,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
527,GD4213236,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
528,GD4213242,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
529,GD4213243,DAOP 1,JAKG,GERBONG,2020-03-01,Kadaluarsa
530,GD4213244,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
531,GD421325,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
532,GD4213255,DAOP 8,SDT,GERBONG,2020-11-28,Kadaluarsa
533,GD4213256,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
534,GD4213257,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
535,GD4213259,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
536,GD421326,DAOP 1,JAKG,GERBONG,2021-10-16,Kadaluarsa
537,GD4213261,DAOP 8,SDT,GERBONG,2022-01-29,Masih Berlaku
538,GD4213262,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
539,GD4213263,DIVRE 3,SIG,GERBONG,2020-07-13,Kadaluarsa
540,GD4213264,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
541,GD4213265,DAOP 8,SDT,GERBONG,2020-08-31,Kadaluarsa
542,GD421327,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
543,GD4213273,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
544,GD4213274,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
545,GD4213275,DAOP 8,SDT,GERBONG,2022-01-22,Masih Berlaku
546,GD4213276,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
547,GD421328,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
548,GD4213280,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
549,GD421329,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
550,GD421330,DAOP 1,JAKG,GERBONG,2021-10-16,Kadaluarsa
551,GD421331,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
552,GD421332,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
553,GD421333,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
554,GD421334,DAOP 1,JAKG,GERBONG,2022-01-22,Masih Berlaku
555,GD421335,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
556,GD421336,DAOP 1,JAKG,GERBONG,2020-03-01,Kadaluarsa
557,GD421337,DAOP 1,JAKG,GERBONG,2020-03-01,Kadaluarsa
558,GD421338,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
559,GD421340,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
