;id;kode_sarana;kode_sarana_lama;id_kartu;id_jenis;id_sub_jenis;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update
22;3178;GD400901;PPCW 401001;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
23;3179;GD400902;PPCW 401002;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
24;3180;GD400903;PPCW 401003;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
25;3181;GD400904;PPCW 401004;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
26;3182;GD400905;PPCW 401005;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
27;3183;GD400906;PPCW 401006;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
28;3184;GD400907;PPCW 401007;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
29;3185;GD400908;PPCW 401008;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
30;3186;GD400909;PPCW 401009;0;4;7;54;2009;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
31;3187;GD400910;PPCW 401010;0;4;7;54;2009;25;71;Tidak Aktiv;;0000-00-00;2017-12-30;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
32;3326;GD401201; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
33;3327;GD401202; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
34;3328;GD401203; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
35;3329;GD401204; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
36;3330;GD401205; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
37;3331;GD401206; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
38;3332;GD401207; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
39;3333;GD401208; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
40;3334;GD401209; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
41;3335;GD401210; ;0;4;7;0;2012;29;71;Aktiv;;0000-00-00;2020-12-05;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
42;6403;CC3001201;;0;1;14;29;2012;31;32;Aktiv;INDONESIA;9999-09-09;2021-12-04;9999-09-09;PT INKA - BOMBARDIER;1;0000-00-00 00:00:00;0000-00-00 00:00:00
43;6404;CC3001202;;0;1;14;29;2012;25;32;Aktiv;INDONESIA;9999-09-09;2020-05-22;9999-09-09;PT INKA - BOMBARDIER;1;0000-00-00 00:00:00;0000-00-00 00:00:00
44;6405;CC3001203;;0;1;14;29;2012;28;32;Aktiv;INDONESIA;9999-09-09;2020-07-27;9999-09-09;PT INKA - BOMBARDIER;1;0000-00-00 00:00:00;0000-00-00 00:00:00
45;6487;K331309;K3 08209;0;3;27;0;2013;16;62;Tidak Aktiv;;0000-00-00;2019-10-19;0000-00-00;HOLEC-PT INKA (Persero);1;0000-00-00 00:00:00;0000-00-00 00:00:00
46;6488;K331310;K3 08210;0;3;27;0;2013;16;62;Tidak Aktiv;;0000-00-00;2019-10-19;0000-00-00;HOLEC-PT INKA (Persero);1;0000-00-00 00:00:00;0000-00-00 00:00:00
47;11080;SR31001;;0;9;22;79;2010;34;71;Aktiv;;2011-10-10;2016-12-31;0000-00-00;;1;0000-00-00 00:00:00;0000-00-00 00:00:00
48;11086;CC3001401;;0;1;14;29;2014;32;32;Aktiv;Indonesia;2015-04-17;2020-11-07;9999-09-09;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
49;11087;CC3001402;;0;1;14;29;2014;34;32;Aktiv;Indonesia;2015-04-17;2020-12-06;9999-09-09;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
50;11638;GD401501;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
51;11639;GD401502;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
52;11640;GD401503;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
53;11641;GD401504;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
54;11642;GD401505;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
55;11643;GD401506;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
56;11644;GD401507;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
57;11645;GD401508;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
58;11646;GD401509;;0;4;7;0;2015;30;71;Aktiv;;2015-03-24;2020-11-16;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
