"136","GT 50 00 91","GGW PULP 506112","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"137","GT 50 00 92","GGW PULP 506113","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"138","GT 50 00 93","GGW PULP 506114","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"139","GT 50 00 94","GGW PULP 506115","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"140","GT 50 00 95","GGW PULP 506116","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"141","GT 50 00 96","GGW PULP 506117","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"142","BB 200 57 01","BB 200 07","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"143","BB 200 57 02","BB 200 14","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"144","BB 200 57 03","BB 200 21","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"145","BB 200 57 04","BB 200 25","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"146","BB 200 57 05","BB 200 29","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"147","BB 201 64 01","BB 201 03","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"148","BB 201 64 02","BB 201 10","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"149","BB 202 68 01","BB 202 01","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"150","BB 202 68 02","BB 202 02","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"151","BB 202 68 03","BB 202 03","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"152","BB 202 71 01","BB 202 04","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
"153","BB 202 71 02","BB 202 05","2011-03-08","TM.202/III/3/KA-2011","8",NULL,NULL,NULL
