"108","KA.405/SK.187/DJKA/10/2017","2017-10-19","SK Dirjen tentang Penetapan Identitas ...","3","20",NULL,NULL,NULL
"109","KA.405/SK.278/DJKA/12/2017","2017-12-27","SK Dirjen tentang Penetapan Identitas ...","1","1",NULL,NULL,NULL
"110","KA.405/SK.279/DJKA/12/2017","2017-12-27","SK Dirjen tentang Penetapan Identitas ...","1","6",NULL,NULL,NULL
"111","KA.405/SK.280/DJKA/12/2017","2017-12-27","SK Dirjen tentang Penetapan Identitas ...","4","18",NULL,NULL,NULL
"112","KA.405/SK.281/DJKA/12/2017","2017-12-27","SK Dirjen tentang Penetapan Identitas ...","2","4",NULL,NULL,NULL
"113","KA.405/SK.307/DJKA/12/2017","2017-12-29","SK Dirjen tentang Penetapan Identitas ...","1","1",NULL,NULL,NULL
"114","KA.405/SK.308/DJKA/12/2017","2017-12-29","SK Dirjen tentang Penetapan Identitas ...","1","5",NULL,NULL,NULL
"115","KA.405/SK.25/DJKA/I/2018","2018-01-30","SK Dirjen tentang Penetapan Identitas 6 Trainset Yang terdiri Dari 36 unit KRL Bandara Soetta","4","36","https://drive.google.com/file/d/1U9lo__hLs043jVex_1pPz4yuxNYZbtWe/view?usp=sharing",NULL,NULL
"116","KA.405/SK.41/DJKA/II/2018","2018-02-22","SK Dirjen tentang Penetapan Identitas 96 unit KRL (MRT)","5","96","https://drive.google.com/file/d/1-PqA2R1OSR616FrnTlZdZyz2LNOAQcjY/view?usp=sharing",NULL,NULL
"117","KA.405/SK.34/DJKA/III/2018","2018-03-01","SK Dirjen tentang Penetapan Identitas 12 unit Kereta Yang Ditarik Lokomotif","2","12","https://drive.google.com/file/d/1b2eLMRGHnpnUGzb4DAZmu8yeuFHu59vc/view?usp=sharing",NULL,NULL
"118","KA.405/SK.44/DJKA/III/2018","2018-03-13","SK Dirjen tentang Penetapan Identitas 12 unit Kereta Yang Ditarik Lokomotif","2","12","https://drive.google.com/file/d/1B77Fp9sQemocx25yHjLjN9YWm1sghSFI/view?usp=sharing",NULL,NULL
"119","KA.405/SK.51/DJKA/4/2018","2018-04-05","SK Dirjen tentang Penetapan Identitas 20 unit Kereta Yang Ditarik Lokomotif","2","20","https://drive.google.com/file/d/1e-s7VTU_YvgOb3z5MWrHAClv5hjYb6KX/view?usp=sharing",NULL,NULL
"120","KA.405/SK.52/DJKA/4/2018","2018-04-05","SK Dirjen tentang Penetapan Identitas 12 unit Kereta Yang Ditarik Lokomotif","2","12","https://drive.google.com/file/d/1iSO8i8zMrEiE7m70LyVEK0YTzZdaEE5v/view?usp=sharing",NULL,NULL
"121","KA.405/SK.53/DJKA/4/2018","2018-04-05","SK Dirjen tentang Penetapan Identitas 1 Trainset Yang terdiri Dari 4 unit KRDE Bandara International Minangkabau (BIM)","2","4","https://drive.google.com/file/d/1Gvv5Co1qr9ulXNV2hDCETTwG_Bo90asm/view?usp=sharing",NULL,NULL
"122","KA.405/SK.54/DJKA/4/2018","2018-04-05","SK Dirjen tentang Penetapan Identitas 2 Trainset Yang terdiri Dari 8 unit KRDE Bandara International Adi Sumarmo (BIAS)","2","8","https://drive.google.com/file/d/13dWr6doYrzxkds0SmLxFnTstzp3cscRe/view?usp=sharing",NULL,NULL
"123","KA.405/SK.58/DJKA/4/2018","2018-04-11","SK Dirjen tentang Penetapan Identitas 24 unit Kereta Yang Ditarik Lokomotif","2","24","https://drive.google.com/file/d/1sE1ofKSRg9SCQOagy343B1FBc0Decohp/view?usp=sharing",NULL,NULL
"124","KA.405/SK.59/DJKA/4/2018","2018-04-18","SK Dirjen tentang Penetapan Identitas 1 unit Peralatan Khsus jenis Langsiran (Shunting Loc)","5","1","https://drive.google.com/file/d/1Z5F6Oxt4NTscPbVKJC74BKU7fp7aRX4z/view?usp=sharing",NULL,NULL
"125","KA.405/SK.60/DJKA/4/2018","2018-04-24","SK Dirjen tentang Penetapan Identitas 8 Trainset Yang terdiri Dari 24 unit LRT Palembang","2","24","https://drive.google.com/file/d/1K5hsLIAIF0jvegKAtEjs5nH-O17NTMvf/view?usp=sharing",NULL,NULL
"126","KA.405/SK.64/DJKA/4/2018","2018-04-30","SK Dirjen tentang Penetapan Identitas 8 Trainset Yang terdiri Dari 16 unit LRT Jakarta","6","16","https://drive.google.com/file/d/1I6G4H4vcgvGheEMGty0K6pj1OQDtIMkf/view?usp=sharing",NULL,NULL
"127","KA.405/SK.70/DJKA/5/2018","2018-05-14","SK Dirjen tentang Penetapan Identitas 20 unit Kereta Yang Ditarik Lokomotif","2","20","https://drive.google.com/file/d/1Bq4S7GfpELqitXVaFRb3yXiELdLUDmG7/view?usp=sharing",NULL,NULL
"128","KA.405/SK.73/DJKA/5/2018","2018-05-16","SK Dirjen tentang Penetapan Identitas 12 unit Kereta Yang Ditarik Lokomotif","2","12","https://drive.google.com/file/d/1zVR_54C4amjzRFyypK3l9ABvIMw6os7M/view?usp=sharing",NULL,NULL
"129","KA.405/SK.75/DJKA/5/2018","2018-05-23","SK Dirjen tentang Penetapan Identitas 10 unit KRL Seri 6000 Metro","3","10","https://drive.google.com/file/d/1Tt1_cflQGKnRcpojq1hrqqhyj3B3cnOZ/view?usp=sharing",NULL,NULL
"130","KA.405/SK.76/DJKA/VI/2018","2018-06-06","SK Dirjen tentang Penetapan Identitas 24 unit KRL Seri JR 205","3","24","https://drive.google.com/file/d/1254QpSUHYkXZayKmOehVdBDR9WQ9HW1k/view?usp=sharing",NULL,NULL
"131","KA.405/SK.77/DJKA/VI/2018","2018-06-06","SK Dirjen tentang Penetapan Identitas 4 unit Kereta Yang Ditarik Lokomotif","2","4","https://drive.google.com/file/d/1opzQ-d6k-JYmP0aKDEFvEyT_isiMhIMI/view?usp=sharing",NULL,NULL
"132","KA.405/SK.78/DJKA/VI/2018","2018-06-06","SK Dirjen tentang Perubahan dan Penetapan Identitas 15 unit Kereta Penolong (SN)","2","15","https://drive.google.com/file/d/1iyU36M3lPcvs-GFa6lkYQgyYa4tVtlKV/view?usp=sharing",NULL,NULL
"133","KA.405/SK.96/DJKA/VIII/2018","2018-08-09","SK Dirjen tentang Perubahan dan Penetapan Identitas 1 unit Kereta Yang Ditarik Lokomotif","2","1","https://drive.google.com/file/d/1pYI4dM-t1kZ58KoP9ITEroyEDe4Ct2lk/view?usp=sharing",NULL,NULL
"134","KA.405/SK.104/DJKA/VIII/2018","2018-09-27","SK Dirjen tentang Penetapan Identitas 24 unit Kereta Yang Ditarik Lokomotif","2","24","https://drive.google.com/file/d/1luYAt8Jvkz3XVfvLf8XBGJPjIOtqO3vE/view?usp=sharing",NULL,NULL
"135","KA.405/SK.120/DJKA/IX/2018","2018-10-02","SK Dirjen tentang Penetapan Identitas 16 unit Kereta Yang Ditarik Lokomotif","2","16","https://drive.google.com/file/d/1L_D9JKWL-6ylXt3m5Jog34dDNFZ1p3yA/view?usp=sharing",NULL,NULL
"136","KA.405/SK.133/DJKA/X/18","2018-10-24","SK Dirjen tentang Penetapan Identitas 42 unit Kereta Yang Ditarik Lokomotif","2","42","https://drive.google.com/file/d/1qtnxU8_LpnwANzunORlEu7K8vSTJkplz/view?usp=sharing",NULL,NULL
"137","KA.405/SK.136/DJKA/X/18","2018-10-26","SK Dirjen tentang Penetapan Identitas 22 unit Kereta Yang Ditarik Lokomotif","2","22","https://drive.google.com/file/d/1m2LMwx65Dp0FlEtOYU7gLBv1frjwpCMz/view?usp=sharing",NULL,NULL
"138","KA.405/SK.148/DJKA/XI/18","2018-11-26","SK Dirjen tentang Penetapan Identitas 10 unit Kereta Yang Ditarik Lokomotif","2","10","https://drive.google.com/file/d/1eIV3EbkphZv97NmWWt00VXP-yguE4aqU/view?usp=sharing",NULL,NULL
"139","KA.405/SK.149/DJKA/XI/18","2018-11-26","SK Dirjen tentang Penetapan Identitas 24 unit KRL Seri JR 205","3","24","https://drive.google.com/file/d/1fDlTSP2OKsBE0R2UY0SeS3-DLplIUkcz/view?usp=sharing",NULL,NULL
"140","KA.405/SK.150/DJKA/XI/18","2018-11-26","SK Dirjen tentang Penetapan Identitas 12 unit Kereta Yang Ditarik Lokomotif","2","12","https://drive.google.com/file/d/1Pxjc9fZuVcrbW9jJoKynIKOXmVrF1L42/view?usp=sharing",NULL,NULL
"141","KA.405/SK.153/DJKA/XI/18","2018-11-29","SK Dirjen tentang Penetapan Identitas 1 unit Peralatan Khsus jenis Kereta Ukur Uji Dinamis Sarana (FUIKA)","1","1","https://drive.google.com/file/d/1nPOaBgnrBHhkglGgBheYYqG8r6OcBYrC/view?usp=sharing",NULL,NULL
"142","KA.405/SK.160/DJKA/XII/18","2018-12-26","SK Dirjen tentang Penetapan Identitas 22 unit Kereta Yang Ditarik Lokomotif","2","22","https://drive.google.com/file/d/1O4GOV1YmIje63jRZIKcjv3G2tLlKYzbR/view?usp=sharing",NULL,NULL
"143","KA.405/SK.162/DJKA/XII/18","2018-12-31","SK Dirjen tentang Penetapan Identitas 22 unit Kereta Yang Ditarik Lokomotif","2","22","https://drive.google.com/file/d/1lw-u91SlOIY99YedvRxgefeY8uWVecV2/view?usp=sharing",NULL,NULL
"144","KA.405/SK.13/DJKA/I/19","2019-01-31","SK Dirjen tentang Penetapan Identitas 22 unit Kereta Yang Ditarik Lokomotif","2","22","https://drive.google.com/file/d/1JEhoSaqz00i8nnlC4p1ELh2eQyG_UXAM/view?usp=sharing",NULL,NULL
"145","KA.405/SK.19/DJKA/II/19","2019-02-22","SK Dirjen tentang Penetapan Identitas 10 Unit KRL Seri 6000 Tokyo Metro","3","10","https://drive.google.com/file/d/1uoVoscicnQPZAjdWgCxXnJHSmbIUBcUT/view?usp=sharing",NULL,NULL
"146","KA.405/SK.23/DJKA/III/19","2019-03-21","SK Dirjen tentang Penetapan Identitas 34 unit Kereta Yang Ditarik Lokomotif","2","34","https://drive.google.com/file/d/1NdInZ8Kvn_6UxbeHe1ty6F8os07UX-l1/view?usp=sharing",NULL,NULL
"147","KA.405/SK.24/DJKA/IV/19","2019-04-09","SK Dirjen tentang Penetapan Identitas 24 Unit KRL Seri JR 205","3","24","https://drive.google.com/file/d/1SVYOGC_Wkugx_j1veK91zZqydBmj4dnN/view?usp=sharing",NULL,NULL
"148","KA.405/SK.26/DJKA/IV/19","2019-04-24","SK Dirjen tentang Penetapan Identitas 19 unit Kereta Yang Ditarik Lokomotif","2","19","https://drive.google.com/file/d/1BYMYPaSleepbo5suPUQ5drd93iiAuNPJ/view?usp=sharing",NULL,NULL
"149","KA.405/SK.31/DJKA/V/19","2019-05-08","SK Dirjen tentang Penetapan Identitas 21 unit Kereta Yang Ditarik Lokomotif","2","21","https://drive.google.com/file/d/1a_DYSkmdjKkAdy0DtQAoGi387h9Nm28Q/view?usp=sharing",NULL,NULL
"150","KA.405/SK.34/DJKA/V/19","2019-05-17","SK Dirjen tentang Penetapan Identitas 22 unit Kereta Yang Ditarik Lokomotif","2","22","https://drive.google.com/file/d/1UQOAt_UhMrBgOpZR8hTZrkUslpm2m99T/view?usp=sharing",NULL,NULL
"151","KA.405/SK.36/DJKA/V/19","2019-05-29","SK Dirjen tentang Penetapan Identitas 40 Unit KRL Seri JR 205","3","40","https://drive.google.com/file/d/1dCiIBI4-8mIM0zKl1Hp28iP003UjPXep/view?usp=sharing",NULL,NULL
"152","KA.405/SK.47/DJKA/VII/19","2019-07-11","SK Dirjen tentang Penetapan Identitas 28 unit Kereta Yang Ditarik Lokomotif","2","28","https://drive.google.com/file/d/1pBXm7Sl7w-GyvIoK5cIK8HDoQU0EGMiK/view?usp=sharing",NULL,NULL
"153","KA.405/SK.76/DJKA/IX/19","2019-09-19","SK Dirjen tentang Penetapan Identitas 40 Unit KRL Seri JR 205","3","40","https://drive.google.com/file/d/1j526K1svkG9wNO4Oy0kBnBQOQGo7ktcG/view?usp=sharing",NULL,NULL
